L-whole/b*?/a,b*?	((a|b*?)?)*
L-botharms/b*?/a,b*?	(?:((a)|(b*?))?)*
L-xarm/b*?/a,b*?	(?:((a)|b*?)?)*
L-yarm/b*?/a,b*?	(?:(a|(b*?))?)*
L-whole+/b*?/a,b*?	((a|b*?)?)+
L-whole02/b*?/a,b*?	((a|b*?)?){0,2}
L-whole/b*?/b*?,a	((b*?|a)?)*
L-botharms/b*?/b*?,a	(?:((b*?)|(a))?)*
L-xarm/b*?/b*?,a	(?:((b*?)|a)?)*
L-yarm/b*?/b*?,a	(?:(b*?|(a))?)*
L-whole+/b*?/b*?,a	((b*?|a)?)+
L-whole02/b*?/b*?,a	((b*?|a)?){0,2}
L-whole/b??/a,b??	((a|b??)?)*
L-botharms/b??/a,b??	(?:((a)|(b??))?)*
L-xarm/b??/a,b??	(?:((a)|b??)?)*
L-yarm/b??/a,b??	(?:(a|(b??))?)*
L-whole+/b??/a,b??	((a|b??)?)+
L-whole02/b??/a,b??	((a|b??)?){0,2}
L-whole/b??/b??,a	((b??|a)?)*
L-botharms/b??/b??,a	(?:((b??)|(a))?)*
L-xarm/b??/b??,a	(?:((b??)|a)?)*
L-yarm/b??/b??,a	(?:(b??|(a))?)*
L-whole+/b??/b??,a	((b??|a)?)+
L-whole02/b??/b??,a	((b??|a)?){0,2}
L-whole/b{0,2}?/a,b{0,2}?	((a|b{0,2}?)?)*
L-botharms/b{0,2}?/a,b{0,2}?	(?:((a)|(b{0,2}?))?)*
L-xarm/b{0,2}?/a,b{0,2}?	(?:((a)|b{0,2}?)?)*
L-yarm/b{0,2}?/a,b{0,2}?	(?:(a|(b{0,2}?))?)*
L-whole+/b{0,2}?/a,b{0,2}?	((a|b{0,2}?)?)+
L-whole02/b{0,2}?/a,b{0,2}?	((a|b{0,2}?)?){0,2}
L-whole/b{0,2}?/b{0,2}?,a	((b{0,2}?|a)?)*
L-botharms/b{0,2}?/b{0,2}?,a	(?:((b{0,2}?)|(a))?)*
L-xarm/b{0,2}?/b{0,2}?,a	(?:((b{0,2}?)|a)?)*
