# ENG-BREP design lane -- archived probe output
#
# probe_rungs.py, DEFAULT engine selection: which S2.5 rung each emitted quantifier took.
#
date:        2026-08-16T00:52:28Z
repo commit: 19f5c120258729fab816704dfda8848e0ea28780  (branch eng-brep)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
pattern	engine	label	rung	detail
((?:b*|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
((?:b*|a)?)*	vm	L5	frames-bounded	frames rung, bounded {0,1}, greedy
((?:b*|a)?)*	vm	L10	cursor	span-loop cursor {0,}, stride 1, greedy
((?:a|b*)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
((?:a|b*)?)*	vm	L5	frames-bounded	frames rung, bounded {0,1}, greedy
((?:a|b*)?)*	vm	L11	cursor	span-loop cursor {0,}, stride 1, greedy
((?:(?:b|)|a)?)*	vm	L0	frames-unbounded	frames rung, unbounded {0,}, greedy
((?:(?:b|)|a)?)*	vm	L5	frames-bounded	frames rung, bounded {0,1}, greedy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L2	frames-bounded	frames rung, bounded {8,8}, greedy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L7	cursor	span-loop cursor {0,30}, stride 1, lazy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L14	cursor	span-loop cursor {0,30}, stride 1, lazy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L21	cursor	span-loop cursor {0,30}, stride 1, lazy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L28	cursor	span-loop cursor {0,30}, stride 1, lazy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L35	cursor	span-loop cursor {0,30}, stride 1, lazy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L42	cursor	span-loop cursor {0,30}, stride 1, lazy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L49	cursor	span-loop cursor {0,30}, stride 1, lazy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L56	cursor	span-loop cursor {0,30}, stride 1, lazy
(1{0,30}?[^]abc][^abc]){8,8}0+|a	vm	L5	cursor	span-loop cursor {1,}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L0	frames-bounded	frames rung, bounded {2,3}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L3	frames-bounded	frames rung, bounded {1,2}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L3	frames-bounded	frames rung, bounded {0,2}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L7	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L11	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L12	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L13	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L25	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L26	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L27	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L36	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L40	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L41	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L42	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L54	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L55	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L56	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L6	frames-bounded	frames rung, bounded {2,3}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L76	frames-bounded	frames rung, bounded {0,2}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L80	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L84	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L85	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L86	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L98	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L99	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L100	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L109	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L113	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L114	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L115	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L127	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L128	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L129	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L79	frames-bounded	frames rung, bounded {2,3}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L150	frames-bounded	frames rung, bounded {1,2}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L150	frames-bounded	frames rung, bounded {0,2}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L154	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L158	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L159	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L160	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L172	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L173	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L174	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L183	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L187	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L188	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L189	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L201	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L202	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L203	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L153	frames-bounded	frames rung, bounded {2,3}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L223	frames-bounded	frames rung, bounded {0,2}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L227	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L231	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L232	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L233	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L245	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L246	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L247	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L256	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L260	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L261	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L262	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L274	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L275	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L276	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L226	frames-bounded	frames rung, bounded {2,3}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L299	frames-bounded	frames rung, bounded {1,2}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L299	frames-bounded	frames rung, bounded {0,2}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L303	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L307	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L308	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L309	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L321	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L322	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L323	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L332	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L336	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L337	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L338	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L350	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L351	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L352	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L302	frames-bounded	frames rung, bounded {2,3}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L372	frames-bounded	frames rung, bounded {0,2}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L376	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L380	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L381	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L382	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L394	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L395	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L396	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L405	frames-unbounded	frames rung, unbounded {1,}, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L409	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L410	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L411	cursor	span-loop cursor {0,2}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L423	cursor	span-loop cursor {1,2}, stride 1, greedy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L424	cursor	span-loop cursor {0,1}, stride 1, lazy
((?:(?:(?:[^a]{1,2}|[^a]??|.{0,2}?)+){0,2}(){2,3}){1,2}){2,3}	vm	L425	cursor	span-loop cursor {0,2}, stride 1, lazy
