C0000	(?:(?:[a-c]|.{0,2}?){0,2})+	/home/duxevents/pcrec/worktrees/artsize3/tests/base/k18_split_shapes.rxt
C0001	((?:b*?|a)?)*	/home/duxevents/pcrec/worktrees/artsize3/tests/base/k18_arm_order.rxt
C0002	^(?J)(?<a>x)(?<a>y)\k<a>$	/home/duxevents/pcrec/worktrees/artsize3/tests/backrefs/gated.rxt
C0003	[\]]	/home/duxevents/pcrec/worktrees/artsize3/tests/base/classes.rxt
C0004	((a)|ab){0,16}c	/home/duxevents/pcrec/worktrees/artsize3/tests/counterk/counterk.rxt
C0005	needleXYZW	/home/duxevents/pcrec/worktrees/artsize3/tests/offsetskip/offset_skip.rxt
C0006	^(a?)(?1)*$	/home/duxevents/pcrec/worktrees/artsize3/tests/recursion/quantified.rxt
C0007	(?<!\Ka)x	/home/duxevents/pcrec/worktrees/artsize3/tests/lookaround/d27/refusals.rxt
C0008	(?<=ab|cd)x	/home/duxevents/pcrec/worktrees/artsize3/tests/lookaround/startpos.rxt
C0009	^[\g<1>]$	/home/duxevents/pcrec/worktrees/artsize3/tests/backrefs/octal_class.rxt
C0010	\Zx	/home/duxevents/pcrec/worktrees/artsize3/tests/assertions/d27/gating.rxt
C0011	(?(DEFINE)(?<atom>[a-z0-9!#$%&'*+/=?^_`{|}~-]+)(?<qchar>[\x01-\x08\x0b\x0c\x0e-\x1f\x21\x23-\x5b\x5d-\x7f]|\\[\x01-\x09\x0b\x0c\x0e-\x7f])(?<label>[a-z0-9](?:[a-z0-9-]*[a-z0-9])?)(?<octet>25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?))(?:(?&atom)(?:\.(?&atom))*|"(?:(?&qchar))*")@(?:(?:(?&label)\.)+(?&label)|\[(?:(?:(?&octet))\.){3}(?:(?&octet)|[a-z0-9-]*[a-z0-9]:(?:[\x01-\x08\x0b\x0c\x0e-\x1f\x21-\x5a\x53-\x7f]|\\[\x01-\x09\x0b\x0c\x0e-\x7f])+)\])	/home/duxevents/pcrec/worktrees/artsize3/tests/recursion/realworld.rxt
C0012	(a)(?=\1)z	/home/duxevents/pcrec/worktrees/artsize3/tests/lookaround/d27/matrix.rxt
C0013	[0-\g]	/home/duxevents/pcrec/worktrees/artsize3/tests/base/class_escape_fallbacks.rxt
C0014	(a|b|c)*d	/home/duxevents/pcrec/worktrees/artsize3/tests/base/precedence.rxt
C0015	ab	/home/duxevents/pcrec/worktrees/artsize3/tests/base/leftmost_semantics.rxt
C0016	((?:a(?!q)|aq)(?:xy){0,4}q)	/home/duxevents/pcrec/worktrees/artsize3/tests/lookaround/d27/prefilter.rxt
C0017	x(\B)y	/home/duxevents/pcrec/worktrees/artsize3/tests/assertions/wordb_vm.rxt
C0018	(*negative_lookbehind:a)c	/home/duxevents/pcrec/worktrees/artsize3/tests/lookaround/d27/spellings.rxt
C0019	z(?<!a|bc)	/home/duxevents/pcrec/worktrees/artsize3/tests/lookaround/d27/matrix.rxt
C0020	(?m)[^c]*$	/home/duxevents/pcrec/worktrees/artsize3/tests/assertions/multiline.rxt
C0021	(?=(?1))(a\Kb)	/home/duxevents/pcrec/worktrees/artsize3/tests/recursion/kreset.rxt
C0022	a(?<!)b	/home/duxevents/pcrec/worktrees/artsize3/tests/lookaround/d27/spellings.rxt
C0023	^\12(a)(b)(c)(d)(e)(f)(g)(h)(i)(j)(k)(l)$	/home/duxevents/pcrec/worktrees/artsize3/tests/backrefs/octal.rxt
C0024	(?:(?<*a(?!b))z|w)	/home/duxevents/pcrec/worktrees/artsize3/tests/lookaround/d27/matrix.rxt
C0025	([ab]{3,3}c)	/home/duxevents/pcrec/worktrees/artsize3/tests/possessify/possessify.rxt
C0026	\b\b	/home/duxevents/pcrec/worktrees/artsize3/tests/assertions/wordb_empty_compose.rxt
C0027	((?=a)*)a	/home/duxevents/pcrec/worktrees/artsize3/tests/lookaround/quantified.rxt
C0028	(a|ab)(c|bcd)	/home/duxevents/pcrec/worktrees/artsize3/tests/captures/priority_and_iteration.rxt
C0029	(x)(?:ab|b){0,4}c	/home/duxevents/pcrec/worktrees/artsize3/tests/rungselect/rungselect.rxt
C0030	(a|ab)(c|bcd)	/home/duxevents/pcrec/worktrees/artsize3/tests/base/leftmost_semantics.rxt
C0031	^a	/home/duxevents/pcrec/worktrees/artsize3/tests/base/anchors.rxt
C0032	(a{0,4}?)	/home/duxevents/pcrec/worktrees/artsize3/tests/possessify/possessify.rxt
C0033	(ab){2,3}	/home/duxevents/pcrec/worktrees/artsize3/tests/base/bounded_repeats.rxt
C0034	[ab]{1000}	/home/duxevents/pcrec/worktrees/artsize3/tests/base/d27_large_counts.rxt
C0035	^(?(DEFINE)(?<g>a\Kb))(?=(?&g))ab$	/home/duxevents/pcrec/worktrees/artsize3/tests/recursion/d27/sr_interactions.rxt
C0036	^(a|b)(?001)$	/home/duxevents/pcrec/worktrees/artsize3/tests/recursion/d27/sr_spellings.rxt
C0037	(a)(?<n>b)(c)	/home/duxevents/pcrec/worktrees/artsize3/tests/named_groups/d27/numbering_capture.rxt
C0038	(?:a|ab)++c	/home/duxevents/pcrec/worktrees/artsize3/tests/atomic_groups/possessive.rxt
C0039	(za{1,3}?)	/home/duxevents/pcrec/worktrees/artsize3/tests/possessify/possessify.rxt
